code;libelle français;libelle anglais
COM-02694;"Saint-Simon";"undefined"
COM-01262;"Montluel";"undefined"
COM-02696;"Saint-Thomas";"undefined"
COM-02259;"Dampleux";"undefined"
COM-01263;"Montmerle-sur-Saône";"undefined"
COM-02697;"Samoussy";"undefined"
COM-02260;"Danizy";"undefined"
COM-01264;"Montracol";"undefined"
COM-02261;"Dercy";"undefined"
COM-02698;"Sancy-les-Cheminots";"undefined"
COM-01265;"Montréal-la-Cluse";"undefined"
COM-02262;"Deuillet";"undefined"
COM-02699;"Saponay";"undefined"
COM-01266;"Montrevel-en-Bresse";"undefined"
COM-02263;"Dhuizel";"undefined"
COM-02701;"Saulchery";"undefined"
COM-01267;"Nurieux-Volognat";"undefined"
COM-02264;"Dizy-le-Gros";"undefined"
COM-02702;"Savy";"undefined"
COM-01268;"Murs-et-Gélignieux";"undefined"
COM-02265;"Dohis";"undefined"
COM-01269;"Nantua";"undefined"
COM-02703;"Seboncourt";"undefined"
COM-02266;"Dolignon";"undefined"
COM-01272;"Neuville-les-Dames";"undefined"
COM-02704;"Selens";"undefined"
COM-02267;"Dommiers";"undefined"
COM-01273;"Neuville-sur-Ain";"undefined"
COM-02705;"La Selve";"undefined"
COM-02268;"Domptin";"undefined"
COM-01274;"Les Neyrolles";"undefined"
COM-02706;"Septmonts";"undefined"
COM-02269;"Dorengt";"undefined"
COM-01275;"Neyron";"undefined"
COM-02707;"Septvaux";"undefined"
COM-02270;"Douchy";"undefined"
COM-01276;"Niévroz";"undefined"
COM-02708;"Sequehart";"undefined"
COM-02271;"Dravegny";"undefined"
COM-01277;"Nivollet-Montgriffon";"undefined"
COM-02709;"Serain";"undefined"
COM-02272;"Droizy";"undefined"
COM-01279;"Oncieu";"undefined"
COM-02710;"Seraucourt-le-Grand";"undefined"
COM-02273;"Dury";"undefined"
COM-01280;"Ordonnaz";"undefined"
COM-02711;"Serches";"undefined"
COM-02274;"Ébouleau";"undefined"
COM-01281;"Ornex";"undefined"
COM-02712;"Sergy";"undefined"
COM-02275;"Effry";"undefined"
