code;libelle français;libelle anglais
AAV2020-239;"Autun";"undefined"
AAV2020-448;"Mirecourt";"undefined"
AAV2020-224;"Millau";"undefined"
AAV2020-254;"Cosne-Cours-sur-Loire";"undefined"
AAV2020-112;"Châlons-en-Champagne";"undefined"
AAV2020-180;"Challans";"undefined"
AAV2020-277;"Péronne";"undefined"
AAV2020-168;"Oyonnax";"undefined"
AAV2020-196;"Gien";"undefined"
AAV2020-073;"Calais";"undefined"
AAV2020-362;"Doué-en-Anjou";"undefined"
AAV2020-292;"Paimpol";"undefined"
AAV2020-041;"Limoges";"undefined"
AAV2020-430;"Calvi";"undefined"
AAV2020-402;"Le Cateau-Cambrésis";"undefined"
AAV2020-240;"Remiremont";"undefined"
AAV2020-449;"Sainte-Menehould";"undefined"
AAV2020-113;"Lannion";"undefined"
AAV2020-152;"Cognac";"undefined"
AAV2020-101;"Périgueux";"undefined"
AAV2020-141;"Romans-sur-Isère";"undefined"
AAV2020-181;"Pontarlier";"undefined"
AAV2020-415;"Tonnerre";"undefined"
AAV2020-169;"Vitré";"undefined"
AAV2020-278;"Mende";"undefined"
AAV2020-074;"Blois";"undefined"
AAV2020-255;"Ploërmel";"undefined"
AAV2020-332;"Mauges-sur-Loire";"undefined"
AAV2020-197;"Forbach (partie française)";"undefined"
AAV2020-211;"Arcachon - La Teste-de-Buch";"undefined"
AAV2020-303;"Somain";"undefined"
AAV2020-363;"Prades";"undefined"
AAV2020-241;"Parthenay";"undefined"
AAV2020-182;"Vendôme";"undefined"
AAV2020-170;"Sarrebourg";"undefined"
AAV2020-293;"Saint-Pol-sur-Ternoise";"undefined"
AAV2020-153;"Cahors";"undefined"
AAV2020-225;"Thiers";"undefined"
AAV2020-114;"Dieppe";"undefined"
AAV2020-450;"Ham";"undefined"
AAV2020-390;"Yssingeaux";"undefined"
AAV2020-279;"Avallon";"undefined"
AAV2020-256;"Bruay-la-Buissière";"undefined"
AAV2020-042;"Lens - Liévin";"undefined"
AAV2020-212;"Chemillé-en-Anjou";"undefined"
AAV2020-075;"Laval";"undefined"
AAV2020-171;"Flers";"undefined"
AAV2020-242;"Noyon";"undefined"
AAV2020-364;"La Tour-du-Pin";"undefined"
AAV2020-294;"Chinon";"undefined"
AAV2020-226;"Figeac";"undefined"
AAV2020-416;"Digoin";"undefined"
AAV2020-280;"Creutzwald";"undefined"
AAV2020-403;"Aubigny-sur-Nère";"undefined"
AAV2020-431;"Guer";"undefined"
AAV2020-198;"Vire Normandie";"undefined"
AAV2020-391;"Blaye";"undefined"
AAV2020-172;"Fougères";"undefined"
AAV2020-243;"Ambérieu-en-Bugey";"undefined"
AAV2020-365;"Châtillon-sur-Seine";"undefined"
AAV2020-102;"Auxerre";"undefined"
AAV2020-183;"Le Creusot";"undefined"
AAV2020-115;"Le Puy-en-Velay";"undefined"
AAV2020-227;"La Ferté-Bernard";"undefined"
AAV2020-213;"Brignoles";"undefined"
AAV2020-304;"L'Isle-sur-la-Sorgue";"undefined"
AAV2020-392;"Semur-en-Auxois";"undefined"
AAV2020-417;"Givet";"undefined"
AAV2020-043;"Annecy";"undefined"
AAV2020-199;"Pamiers";"undefined"
AAV2020-432;"Vidauban";"undefined"
