code;libelle français;libelle anglais
AAV2020-244;"Château-Gontier-sur-Mayenne";"undefined"
AAV2020-256;"Bruay-la-Buissière";"undefined"
AAV2020-227;"La Ferté-Bernard";"undefined"
AAV2020-287;"Fourmies";"undefined"
AAV2020-271;"Biars-sur-Cère - Saint-Céré";"undefined"
AAV2020-295;"Saint-Marcellin";"undefined"
AAV2020-263;"Aire-sur-la-Lys";"undefined"
AAV2020-279;"Avallon";"undefined"
AAV2020-245;"Villefranche-de-Rouergue";"undefined"
AAV2020-228;"Châteaubriant";"undefined"
AAV2020-257;"Guingamp";"undefined"
AAV2020-288;"La Flèche";"undefined"
AAV2020-296;"Roscoff - Saint-Pol-de-Léon";"undefined"
AAV2020-280;"Creutzwald";"undefined"
AAV2020-272;"Pleyben - Châteaulin";"undefined"
AAV2020-264;"Romilly-sur-Seine";"undefined"
AAV2020-229;"Loudéac";"undefined"
AAV2020-246;"Friville-Escarbotin";"undefined"
AAV2020-289;"Landivisiau";"undefined"
AAV2020-297;"Vittel - Contrexéville";"undefined"
AAV2020-281;"Foix";"undefined"
AAV2020-273;"Chauny";"undefined"
AAV2020-265;"Bayeux";"undefined"
AAV2020-247;"Étaples - Le Touquet-Paris-Plage";"undefined"
AAV2020-290;"Briançon";"undefined"
AAV2020-298;"Porto-Vecchio";"undefined"
AAV2020-282;"Lourdes";"undefined"
AAV2020-266;"Biscarrosse";"undefined"
AAV2020-274;"Pont-à-Mousson";"undefined"
AAV2020-291;"Lure";"undefined"
AAV2020-299;"Yvetot";"undefined"
AAV2020-283;"Tergnier";"undefined"
AAV2020-275;"Apt";"undefined"
AAV2020-292;"Paimpol";"undefined"
AAV2020-300;"Saint-Amand-Montrond";"undefined"
AAV2020-284;"Saint-Girons";"undefined"
AAV2020-301;"Le Luc";"undefined"
AAV2020-293;"Saint-Pol-sur-Ternoise";"undefined"
AAV2020-302;"Capbreton";"undefined"
AAV2020-294;"Chinon";"undefined"
AAV2020-303;"Somain";"undefined"
AAV2020-304;"L'Isle-sur-la-Sorgue";"undefined"
AAV2020-305;"Carhaix-Plouguer";"undefined"
AAV2020-306;"Gaillac";"undefined"
AAV2020-307;"Neufchâteau";"undefined"
AAV2020-308;"Hirson";"undefined"
AAV2020-313;"Morteau";"undefined"
AAV2020-314;"Bédarieux";"undefined"
AAV2020-309;"Ussel";"undefined"
AAV2020-315;"Saint-Jean-d'Angély";"undefined"
AAV2020-310;"Orthez";"undefined"
AAV2020-316;"Le Grau-du-Roi";"undefined"
AAV2020-311;"Luçon";"undefined"
AAV2020-317;"Amnéville - Rombas";"undefined"
AAV2020-312;"Lannemezan";"undefined"
AAV2020-318;"Issoudun";"undefined"
AAV2020-322;"Freyming-Merlebach (partie française)";"undefined"
AAV2020-323;"Saint-Flour";"undefined"
AAV2020-319;"Saint-Claude";"undefined"
AAV2020-324;"Brioude";"undefined"
AAV2020-320;"Feurs";"undefined"
AAV2020-325;"Uzès";"undefined"
AAV2020-321;"Évron";"undefined"
AAV2020-326;"Joigny";"undefined"
AAV2020-327;"Limoux";"undefined"
AAV2020-328;"Loches";"undefined"
AAV2020-329;"Moissac";"undefined"
AAV2020-332;"Mauges-sur-Loire";"undefined"
AAV2020-330;"Decazeville";"undefined"
AAV2020-333;"Louhans";"undefined"
AAV2020-341;"Bollène";"undefined"
AAV2020-331;"Ambert";"undefined"
AAV2020-342;"Crest";"undefined"
AAV2020-334;"Valréas";"undefined"
AAV2020-350;"Gérardmer";"undefined"
AAV2020-351;"La Ferté Macé";"undefined"
AAV2020-335;"Tournon-sur-Rhône";"undefined"
AAV2020-343;"Sisteron";"undefined"
AAV2020-359;"Vaison-la-Romaine";"undefined"
AAV2020-352;"Honfleur";"undefined"
AAV2020-360;"Pineuilh";"undefined"
AAV2020-344;"Bourg-Saint-Maurice";"undefined"
AAV2020-336;"Paray-le-Monial";"undefined"
AAV2020-361;"Nérac";"undefined"
AAV2020-353;"Crozon";"undefined"
AAV2020-345;"Pézenas";"undefined"
AAV2020-369;"Surgères";"undefined"
AAV2020-337;"Chantonnay";"undefined"
AAV2020-354;"Jonzac";"undefined"
AAV2020-362;"Doué-en-Anjou";"undefined"
AAV2020-346;"Verneuil d'Avre et d'Iton";"undefined"
AAV2020-378;"Hesdin-la-Forêt";"undefined"
AAV2020-370;"Decize";"undefined"
AAV2020-338;"Champagnole";"undefined"
AAV2020-355;"Lesparre-Médoc";"undefined"
AAV2020-379;"Maîche";"undefined"
AAV2020-363;"Prades";"undefined"
AAV2020-347;"Loudun";"undefined"
AAV2020-371;"Bormes-les-Mimosas";"undefined"
AAV2020-387;"Essarts-en-Bocage";"undefined"
AAV2020-339;"Revel";"undefined"
AAV2020-356;"Castelsarrasin";"undefined"
AAV2020-388;"Saint-Yrieix-la-Perche";"undefined"
AAV2020-380;"Avesnes-sur-Helpe";"undefined"
AAV2020-364;"La Tour-du-Pin";"undefined"
AAV2020-348;"Le Blanc";"undefined"
AAV2020-372;"Commercy";"undefined"
AAV2020-357;"Belleville-en-Beaujolais";"undefined"
AAV2020-340;"Lavelanet";"undefined"
AAV2020-396;"Valence";"undefined"
AAV2020-397;"Sézanne";"undefined"
AAV2020-389;"Bar-sur-Aube";"undefined"
AAV2020-381;"Montval-sur-Loir";"undefined"
AAV2020-365;"Châtillon-sur-Seine";"undefined"
AAV2020-349;"Sainte-Maxime";"undefined"
AAV2020-373;"Barbezieux-Saint-Hilaire";"undefined"
AAV2020-358;"Carentan-les-Marais";"undefined"
AAV2020-406;"Condom";"undefined"
AAV2020-398;"Bagnères-de-Bigorre";"undefined"
AAV2020-390;"Yssingeaux";"undefined"
AAV2020-366;"Tonneins";"undefined"
AAV2020-382;"Montmorillon";"undefined"
AAV2020-374;"Tarare";"undefined"
AAV2020-399;"Saint-Martin-de-Crau";"undefined"
AAV2020-391;"Blaye";"undefined"
AAV2020-367;"Graulhet";"undefined"
AAV2020-415;"Tonnerre";"undefined"
AAV2020-407;"Mazamet";"undefined"
AAV2020-375;"Saint-Vallier";"undefined"
AAV2020-383;"Clamecy";"undefined"
AAV2020-368;"Wissembourg (partie française)";"undefined"
AAV2020-392;"Semur-en-Auxois";"undefined"
AAV2020-400;"Gournay-en-Bray";"undefined"
